"iso3","BDI","DJI","ERI","ETH","KEN","RWA","SOM","SSD","TZA","UGA","HTI","MOZ"
"JAM",0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0
"KEN",376360000,0,0,0,0,2844540000,14520000,139416666.666667,12600836666.6667,5190390000,0,40506666.6666667
"KHM",0,0,0,0,0,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,8840000,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0
"LSO",0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,1371786666.66667,0,0,0,1032053333.33333,0,0,4230466666.66667
"MYS",0,0,0,0,0,0,5893333.33333333,0,0,0,0,0
"MDV",0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,0,0,0,0,0,0,0,0,0,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0
"MRT",0,0,0,0,0,0,0,0,0,0,0,0
"MUS",0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,675835146666.667,0,0,0,6.052e+10,0,172066666.666667,0
"MNG",0,0,0,0,0,0,0,0,0,0,0,0
"MAR",0,0,0,0,0,0,0,0,0,0,0,0
"MOZ",0,0,0,0,0,0,0,0,0,0,0,0
"MDA",0,0,0,0,0,0,0,0,0,0,0,0
"NAM",0,0,0,0,0,0,0,0,0,0,0,0
"NPL",0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,0,0,0,5893333.33333333,0,0,0,41253333.3333333,0
"ANT",0,0,0,0,0,0,0,0,0,0,0,0
"NCL",0,0,0,0,0,0,0,0,0,0,0,0
"MKD",0,0,0,0,0,0,0,0,0,0,0,0
"VUT",0,0,0,0,0,0,0,0,0,0,0,0
"NZL",0,0,0,0,0,0,0,0,0,0,0,0
"NIC",0,0,0,0,0,0,0,0,0,0,0,0
"NER",0,0,0,0,0,0,0,0,0,0,0,0
"NGA",0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,0,0,0
"PAK",0,116293333.333333,0,0,0,0,0,0,0,0,0,0
"PAN",0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,0,0,0,0,0,0,0,0,0,0
"PNG",0,0,0,0,0,0,0,0,0,0,0,0
"PRY",0,0,0,0,0,0,0,0,0,0,0,0
"PER",0,0,0,0,0,0,0,0,0,0,0,0
"PHL",0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,0,0,0,7879466666.66667
"PRT",0,0,0,4793333.33333333,0,0,0,0,0,0,0,20026666.6666667
"GNB",0,0,0,0,0,0,0,0,0,0,0,0
"TLS",0,0,0,0,0,0,0,0,0,0,0,0
"ERI",0,0,0,0,0,0,0,0,0,0,0,0
"QAT",0,0,0,0,0,0,0,0,0,0,0,0
"ZWE",0,0,0,5933333.33333333,4.45e+08,0,0,0,0,35600000,0,1432400000
"ROU",0,0,0,0,0,0,0,0,0,0,0,8.366e+09
"RWA",13210683333.3333,0,0,0,0,0,0,0,0,151893333.333333,0,0
"RUS",0,0,0,0,4.3966e+10,0,0,0,0,0,0,0
"KNA",0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0
"VCT",0,0,0,0,0,0,0,0,0,0,0,0
"STP",0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,65266666.6666667,0,0
"SEN",0,0,0,0,0,0,0,0,0,0,0,0
"SYC",0,0,0,0,0,0,0,0,0,0,0,0
"SLE",0,0,0,0,0,0,0,0,0,0,0,0
"SVN",0,0,0,0,0,0,0,0,0,0,0,0
"SVK",0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,0,0,0,0,0,0,0,0,0,0,0
"SOM",0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,55796666.6666667,362545870000,0,936540000,0,38007910000,4209573333.33333,0,559045380000
"ESP",0,0,0,0,0,0,0,0,0,0,0,0
"SUR",0,0,0,0,0,0,0,0,0,0,0,0
"TJK",0,0,0,0,0,0,0,0,0,0,0,0
"SWZ",0,0,0,0,0,0,0,0,0,0,0,183933333.333333
"SWE",0,0,0,0,0,0,0,0,0,0,0,0
"CHE",0,0,0,0,0,0,0,0,0,0,0,0
"SYR",0,0,0,0,0,0,0,0,0,0,0,0
"TKM",0,0,0,0,0,0,0,0,0,0,0,0
"TWN",0,0,0,0,0,0,0,0,0,0,0,0
"TZA",13140260000,0,0,0,118134596666.667,5478180000,11735916666.6667,0,0,1281600000,0,3965026666.66667
"THA",0,0,0,0,4746666.66666667,0,0,0,332266666.666667,0,0,41533333.3333333
"TGO",0,0,0,0,0,0,0,0,0,0,0,0
"TON",0,0,0,0,0,0,0,0,0,0,0,0
"TTO",0,0,0,0,0,0,0,0,0,0,0,0
"OMN",0,0,0,0,0,0,0,0,792653333.333333,0,0,0
"TUN",0,0,0,0,0,0,0,0,0,0,0,0
"TUR",0,79860000,0,241543333.333333,32413333.3333333,0,1210000,0,1104730000,51280000,319440000,50820000
"ARE",7190000,3748160000,64493333.3333333,1500346666.66667,294876666.666667,0,26876926666.6667,0,758110000,33490000,0,0
"UGA",35851773333.3333,0,0,0,663769910000,230561983333.333,0,299232890000,51912813333.3333,0,0,0
"TUV",0,0,0,0,0,0,0,0,0,0,0,0
"GBR",0,0,0,0,33330000,0,0,0,0,0,0,0
"UKR",0,0,0,0,132327573333.333,0,249200000,0,0,0,0,5933333333.33333
"USA",0,0,0,0,53400000,0,6449300000,0,63855283333.3333,2524060000,73354076666.6667,53572490000
"BFA",0,0,0,0,0,0,0,0,0,0,0,0
"URY",0,0,0,0,0,0,0,0,0,0,0,0
"UZB",0,0,0,0,0,0,0,0,0,0,0,0
"VEN",0,0,0,0,0,0,0,0,0,0,0,0
"VNM",0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0,0,0,0,38224906666.6667,0,0,0,0,0,0,0
"YEM",0,0,0,0,0,0,0,0,0,0,0,0
"COD",10680000,0,0,0,0,0,0,0,0,0,0,0
"ZMB",28652766666.6667,0,0,12115866666.6667,190959586666.667,33308666666.6667,0,0,79726200000,582653333.333333,0,21225526666.6667
"BEL",0,0,0,35360000,0,17680000,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,0,0
"SRB",0,0,0,0,0,0,0,0,0,0,0,0
"MNE",0,0,0,0,0,0,0,0,0,0,0,0
"SDN",0,0,0,0,0,0,0,0,0,0,0,0
"SSD",0,0,0,0,0,0,0,0,0,0,0,0
"PSE",0,0,0,0,0,0,0,0,0,0,0,0
