"iso3","BDI","DJI","ERI","ETH","KEN","RWA","SOM","SSD","TZA","UGA","HTI","MOZ"
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0,0,0,0,0,0,0,0,0,0,0,0
"JPN",0,0,0,0,0,0,0,0,0,0,0,0
"JOR",0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0,0,0,0,0
"KEN",0,0,0,0,0,3600000,9520000,85910000,0,344270000,0,0
"KHM",0,0,0,0,3.9e+08,0,0,0,0,0,0,0
"PRK",0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,3600000,0,0,0,0,0,0,0
"KWT",0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0
"LAO",0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,1200000,0,0,0,0,0,0,0
"LSO",0,0,0,0,0,0,0,0,0,0,0,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,0,0,0,0,0,0,0,0,0,0
"LTU",0,0,0,0,0,0,0,0,0,0,0,0
"MAC",0,0,0,0,0,0,0,0,0,0,0,0
"MDG",0,0,0,0,0,0,0,0,0,0,0,0
"MWI",0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,0,0,0,0
"MDV",0,0,0,0,0,0,0,0,0,0,0,0
"MLI",0,0,0,0,0,0,0,0,0,0,0,0
"MLT",0,0,0,0,0,0,0,0,0,0,0,0
