"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"TUR",13.058,4.661,-6.456,-7.686,5.764,-4.312,-6.042,8.676,-4.378,-3.051,3.888,6.597,1.508,4.003,-1.248
"TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGA",-16.848,-14.83,-15.848,-14.652,-10.926,-12.187,-27.79,-9.033,-16.599,-16.268,-15.397,-11.302,-16.207,-9.647,-10.509
"UKR",-12.165,-1.296,-4.465,-11.199,-21.316,-8.14,-27.611,-21.307,-30.382,-9.728,-28.451,-11.806,5.535,-14.914,0.52
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR",-8.251,-4.756,-5.752,-9.984,-13.385,-6.03,-7.953,-10.078,-5.809,-12.125,-15.697,-8.329,-3.119,-5.231,-1.407
"TZA",-6.074,1.49,-0.423,-2.538,-4.485,-10.621,-17.389,-8.807,-9.855,-2.051,-1.123,-8.819,-12.293,-6.741,2.642
"USA",-5.958,-6.648,-5.866,-7.139,-12.602,-4.206,-3.868,-4.576,-0.951,-1.336,-7.246,4.055,-4.266,-3.885,-4.459
"URY",-10.956,-0.635,-1.926,-0.102,-4.332,2.33,1.053,-8.964,-1.719,0.629,-3.977,-8.335,2.731,-1.515,0.31
"UZB",-19.484,-24.188,-17.7,-19.721,-20.594,-14.667,-12.548,-17.639,-11.903,-19.401,-10.775,-14.232,-12.676,-6.58,-17.836
"VUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VNM",-4.824,-1.135,1.154,6.293,-1.804,-0.073,2.591,-5.436,-0.099,-7.045,-1.228,3.774,-5.269,-5.448,0.437
"YEM",7.33,1.074,10.689,8.36,3.485,-3.642,2.498,5.827,2.048,-2.519,-6.995,5.689,-2.75,4.83,2.038
"ZMB",12.435,15.535,14.477,16.518,18.484,17.307,14.793,2.833,4.86,12.595,7.792,12.965,11.682,15.489,11.677
"ZWE",2.712,3.174,2.747,-0.369,1.697,0.905,-1.277,-1.016,0.412,1.399,1.683,1.858,-2.233,-0.035,1.136
