"","AFG","ALB","DZA","AGO","ARG","ARM","AUS","AUT","AZE","BHR","BGD","BLR","BEL","BEN","BTN","BOL","BIH","BWA","BRA","BGR","BFA","BDI","KHM","CMR","CAN","CPV","CAF","TCD","CHL","CHN","COL","COM","COG","CRI","CIV","HRV","CUB","CYP","CZE","PRK","COD","DNK","DJI","DOM","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FJI","FIN","FRA","GAB","GMB","GEO","DEU","GHA","GRC","GTM","GIN","GNB","GUY","HTI","HND","HUN","IND","IDN","IRN","IRQ","IRL","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LTU","LUX","MDG","MWI","MYS","MLI","MRT","MUS","MEX","MNG","MNE","MAR","MOZ","MMR","NAM","NPL","NLD","NZL","NIC","NER","NGA","NOR","PSE","OMN","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","KOR","MDA","ROU","RUS","RWA","SAU","SEN","SRB","SRB","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","MKD","TLS","TGO","TTO","TUN","TUR","TKM","UGA","UKR","ARE","GBR","TZA","USA","URY","UZB","VEN","VNM","YEM","ZMB","ZWE"
"BGD",0,0,0,0,0,0,203746666.666667,130800000,0,148260000,0,0,775253333.333333,0,10790000,0,0,0,0,0,0,0,0,0,469930000,0,0,0,0,327600000,0,0,0,0,0,0,0,1256666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20106666.6666667,0,0,0,30070000,0,1079010000,0,0,0,0,0,0,0,195520000,0,0,0,0,0,10820106666.6667,0,90586666.6666667,0,0,0,654150000,0,0,0,0,0,0,0,0,0,0,0,602406666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140890000,15600000,0,7380000,0,0,0,0,0,258096666.666667,143440000,0,0,0,0,5892943333.33333,0,0,0,0,2154460000,0,0,0,0,6150000,9600000,383400000,0,0,0,12283333.3333333,0,0,0,9600000,0,0,0,0,0,0,0,0,32313333.3333333,2971756666.66667,1843900000,0,2660973333.33333,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,7550000,0,662240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38320000,0,0,0,0,0,0,0,0,0,0,0,0,0,42810000,0,0,0,0,0,0,0,0,0,0,369846666.666667,0,0,0,0,0,0,5554836666.66667,47143333.3333333,0,1230000,0,0,0,0,0,0,0,0,0,0,0,0,91216666.6666667,0,0,0,0,868273333.333333,0,0,799786666.666667,0,24266666.6666667,0,0,0,0,212306666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72800000,0,0,0,556203333.333333,0,157126256666.667,0,0,0,0,0,0,0,1660000,0,0,0,0,0,0,0,0,0,0,0,0,1153066666.66667,0,0,0,0,0,0,0,315210000,0,413460000,0,0,0,404453333.333333,0,17703493333.3333,0,0,0,0,0
"BEL",2240413333.33333,51430000,120302290000,544421013333.333,27460000,927216666.666667,11981483333.3333,42412016666.6667,920403333.333333,842480000,9649126666.66667,220856666.666667,0,11455153333.3333,184730000,0,749800000,1074560000,685280866666.667,820143333.333333,16117400000,24260273333.3333,9384940000,237309460000,8884770000,6831626666.66667,7350953333.33333,22857680000,18500990000,217706930000,58203810000,6226826666.66667,34699183333.3333,17932786666.6667,66904806666.6667,6202676666.66667,837623333.333333,2638083333.33333,20159613333.3333,6814840000,136529660000,33163103333.3333,27791483333.3333,5773203333.33333,13022210000,19337096666.6667,10479580000,4088896666.66667,22423786666.6667,1709530000,44960430000,1747200000,48452123333.3333,1611381906666.67,42469810000,22454143333.3333,2415216666.66667,1329245253333.33,70328980000,55954843333.3333,22216786666.6667,19255720000,4395263333.33333,823696666.666667,4436950000,13112930000,17397103333.3333,500946666.666667,108208526666.667,3327733333.33333,2556390000,29988720000,7369876666.66667,124437560000,25003963333.3333,132621236666.667,3243993333.33333,9115590000,7738176666.66667,3500530000,64583333.3333333,13537746666.6667,3565080000,10173710000,1306400000,21703950000,271613850000,1097950000,80420260000,17435366666.6667,3360933333.33333,20187316666.6667,4463073333.33333,33859486666.6667,1653133333.33333,4163373333.33333,31926666.6666667,178800000,216950023333.333,17177083333.3333,981333333.333333,33470080000,3746666.66666667,4953349226666.67,8481730000,31248003333.3333,29965466666.6667,111484143333.333,43035243333.3333,25080000,871710000,1238970000,30390433333.3333,4725933333.33333,0,39754080000,245478160000,22688946666.6667,11277220000,905690000,36639573333.3333,20430000,2079196666.66667,199086616666.667,21291553333.3333,40922023333.3333,5943220000,123156666.666667,416616666.666667,21962623333.3333,71385150000,893866666.666667,1298610000,442950000,0,15841036666.6667,61193820000,11003010000,33257246666.6667,161153333.333333,12266666.6666667,142279550000,50377240000,916983333.333333,6133333.33333333,110654003333.333,93966666.6666667,0,14727503333.3333,502183333.333333,66787126666.6667,4677383333.33333,38026666.6666667,7713833333.33333,15901006666.6667,5871510000,625712276666.667,38863170000,38584110000,13890000,6150000,794285103333.333,33587943333.3333,8773700000,39253333.3333333,51836666.6666667
"BEN",0,0,0,1210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3445866666.66667,0,0,0,0,0,0,0,0,0,0,0,27293333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13310000,14240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3154713333.33333,8056533333.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,1347520000,0,12683333.3333333,0,0,0,0,0,0,0,0,0,0,0,742673333.333333,0,0,0,0,0,27846666.6666667,0,0,0,14609993333.3333,0,33903333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72613333.3333333,0,0,0,67260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14636666.6666667,1210000,0,2396666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134230000,13596666.6666667,0,0,0,0,0,0,0,0,0,192516666.666667,67690753333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187883333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49763333.3333333,0,493296666.666667,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,113200000,344313333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100276666.666667,0,0,0,0,0,0,0,0,0,0,25790856666.6667,0,0,19680000,0,0,480930000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316943333.333333,0,0,0,0,0,0,0,0,20910000,0,0,0,0,8590000,0,0,0,1223333.33333333,0,0,0,0,0,0,0,0,0,0,6079016666.66667,0,1213333.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180816666.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4174780000,11027846666.6667,0,0,2460000,1803153333.33333,0,0,0,0,0,0,0,0,1071363333.33333,126440000,0,0,0,4036680000,0,0,0,0,23733333.3333333,0,0,0,0,401346666.666667,0,1211560000,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,21360000,292773810000,221320526666.667,41440123333.3333,17390000,3009786666.66667,0,13530000,59613333.3333333,9076666.66666667,0,110865486666.667,57815300000,0,25540750000,1256666.66666667,24526666.6666667,0,186509946666.667,1256666.66666667,0,0,748430000,2108666666.66667,4579420000,0,0,52306186666.6667,70660223333.3333,24219223333.3333,0,210053333.333333,2173026666.66667,7846666.66666667,28380530000,23110626666.6667,0,43920000,295838886666.667,108676666.666667,9961476666.66667,0,7121703333.33333,6381826666.66667,88019090000,0,84240000,0,49773333.3333333,17173333.3333333,704076666.666667,1256666.66666667,8268510000,367170000,66611666666.6667,17213333.3333333,64426313333.3333,605660000,62119460000,2333646666.66667,213923333.333333,21140000,4703920000,13193680000,914036666.666667,59046666.6666667,30043333.3333333,12300000,4480112386666.67,1238933333.33333,12275316666.6667,1.1036e+11,559750516666.667,1435466666.66667,84473263333.3333,170640000,0,13043920000,471813333.333333,0,0,11770000,903413333.333333,0,316260000,30689706666.6667,289546666.666667,86606666.6666667,186210000,94250000,96140000,2926666.66666667,1703196666.66667,259213333.333333,8163076666.66667,102980000,0,375539873333.333,48172026666.6667,0,75200000,0,448188040000,889163333.333333,88553333.3333333,17156666.6666667,24677013333.3333,11246040000,0,11518933333.3333,8586666.66666667,2189206666.66667,159053333.333333,69812710000,11830723333.3333,324809040000,322556173333.333,349498490000,131580000,2925687386666.67,0,316838486666.667,31861463333.3333,0,95035210000,386193800000,0,70375746666.6667,351380000,145943333.333333,119964050000,5026666.66666667,33210000,0,70946903333.3333,1935827156666.67,83640000,115750000,762333333.333333,35903333.3333333,23823333.3333333,118653656666.667,0,1230000,160670000,3770000,0,75373333.3333333,20696133333.3333,109017090000,48025703333.3333,0,8610000,0,40969366666.6667,71493660000,17843630000,53085610000,25951333333.3333,1230000,46536913333.3333,84513050000,47605193333.3333,87426666.6666667,0
"BGR",0,79918936666.6667,283683176666.667,0,0,250390000,324203333.333333,1146686666.66667,41343333.3333333,28643333.3333333,41353653333.3333,36590000,481376666.666667,0,0,0,3125283333.33333,0,0,0,0,0,2426666.66666667,3.56e+09,1615320000,0,0,7635240000,0,363320000,0,4870000,6133333.33333333,0,0,63032796666.6667,0,113791093333.333,9136970000,51773340000,0,818856666.666667,0,0,0,107892106666.667,0,0,0,17286666.6666667,0,0,6150000,3090663333.33333,21950000,0,20888806666.6667,21967103333.3333,488293333.333333,302275623333.333,0,0,0,0,0,4756666.66666667,11698083333.3333,41173293333.3333,150678533333.333,0,197196666.666667,77116666.6666667,322292760000,298905246666.667,0,0,36539096666.6667,0,2.171e+10,0,0,0,306270000,38444540000,0,11200000,118115070000,498816666.666667,0,0,0,35600000,0,29763853333.3333,0,0,0,0,98924763333.3333,0,0,0,0,13281126666.6667,71703333.3333333,0,0,34209393333.3333,225110000,0,0,0,61746666.6666667,0,0,0,45302646666.6667,20343553333.3333,130539146666.667,0,31457766666.6667,125966666.666667,399181903333.333,166126666.666667,0,48136680000,0,23716780000,24560726666.6667,0,27260000,4463030000,2275090000,0,0,206426666.666667,1504568270000,110526666.666667,61342440000,0,0,576003333.333333,10615103333.3333,279699473333.333,0,0,171207280000,0,0,0,524884546666.667,57771740000,222800000,16143333333.3333,2338423333.33333,52206666.6666667,4645646666.66667,0,8504890000,0,0,0,15248793333.3333,0,0,0
"BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,2590493333.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9970686666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88800000,0,0,0,0,0,0,0,0,0,0,0,0,0,56151506666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10208893333.3333,0,0,0,0,0,0,0,0,15946666.6666667,0,0,0,0,0,0,2426666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32286666.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,202800000,0,0,0,0,0,1131600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650400000,0,0,0,0,0,0,0,0,0,0,0,1093200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148800000,0,0,0,0,0,0,298800000,0,0,0,0,0,0,0,7.661e+10,0,0,0,0,0,0,0,0,0,0,0,0,27600000,0,0,0,1548946666.66667,0,0,0
"CMR",0,0,0,14760000,0,0,0,0,0,0,0,0,2426666.66666667,0,0,0,0,0,0,0,0,0,0,0,12300000,0,1343863333.33333,2222833333.33333,0,0,0,0,725613333.333333,0,0,0,0,0,0,0,40563333.3333333,0,0,0,0,0,0,128693333.333333,0,0,0,0,0,0,397240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489333333.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2553333.33333333,0,0,0,0,0,0,0
