"","AFG.1","ALB.1","ANT.1","ARB.1","ARE.1","ARG.1","ARM.1","ATG.1","AUS.1","AUT.1","AZE.1","BDI.1","BEL.1","BEN.1","BFA.1","BGD.1","BGR.1","BHR.1","BHS.1","BIH.1","BLR.1","BLZ.1","BMU.1","BOL.1","BRA.1","BRB.1","BRN.1","BTN.1","BWA.1","CAF.1","CAN.1","CHE.1","CHL.1","CHN.1","CIV.1","CMR.1","COD.1","COG.1","COK.1","COL.1","COM.1","CPV.1","CRI.1","CUB.1","CYP.1","CZE.1","DEU.1","DJI.1","DMA.1","DNK.1","DOM.1","DZA.1","ECU.1","EGY.1","ERI.1","ESP.1","EST.1","ETH.1","FIN.1","FJI.1","FRA.1","FRO.1","GAB.1","GBR.1","GEO.1","GHA.1","GIN.1","GMB.1","GNB.1","GNQ.1","GRC.1","GRD.1","GRL.1","GTM.1","GUY.1","HKG.1","HND.1","HRV.1","HTI.1","HUN.1","IDN.1","IND.1","IRL.1","IRN.1","IRQ.1","ISL.1","ISR.1","ITA.1","JAM.1","JOR.1","JPN.1","KAZ.1","KEN.1","KGZ.1","KHM.1","KIR.1","KNA.1","KOR.1","KWT.1","LAO.1","LBN.1","LBR.1","LBY.1","LCA.1","LKA.1","LSO.1","LTU.1","LUX.1","LVA.1","MAC.1","MAR.1","MDA.1","MDG.1","MDV.1","MEX.1","MKD.1","MLI.1","MLT.1","MMR.1","MNE.1","MNG.1","MOZ.1","MRT.1","MUS.1","MWI.1","MYS.1","NAM.1","NCL.1","NER.1","NGA.1","NIC.1","NLD.1","NOR.1","NPL.1","NZL.1","OMN.1","PAK.1","PAN.1","PER.1","PHL.1","PNG.1","POL.1","PRK.1","PRT.1","PRY.1","PSE.1","PYF.1","QAT.1","ROU.1","RUS.1","RWA.1","SAU.1","SDN.1","SEN.1","SGP.1","SLB.1","SLE.1","SLV.1","SOM.1","SRB.1","SSD.1","STP.1","SUR.1","SVK.1","SVN.1","SWE.1","SWZ.1","SYC.1","SYR.1","TCD.1","TGO.1","THA.1","TJK.1","TKM.1","TLS.1","TON.1","TTO.1","TUN.1","TUR.1","TUV.1","TWN.1","TZA.1","UGA.1","UKR.1","URY.1","USA.1","UZB.1","VCT.1","VEN.1","VNM.1","VUT.1","YEM.1","ZAF.1","ZMB.1","ZWE.1","AFG.2","ALB.2","ANT.2","ARB.2","ARE.2","ARG.2","ARM.2","ATG.2","AUS.2","AUT.2","AZE.2","BDI.2","BEL.2","BEN.2","BFA.2","BGD.2","BGR.2","BHR.2","BHS.2","BIH.2","BLR.2","BLZ.2","BMU.2","BOL.2","BRA.2","BRB.2","BRN.2","BTN.2","BWA.2","CAF.2","CAN.2","CHE.2","CHL.2","CHN.2","CIV.2","CMR.2","COD.2","COG.2","COK.2","COL.2","COM.2","CPV.2","CRI.2","CUB.2","CYP.2","CZE.2","DEU.2","DJI.2","DMA.2","DNK.2","DOM.2","DZA.2","ECU.2","EGY.2","ERI.2","ESP.2","EST.2","ETH.2","FIN.2","FJI.2","FRA.2","FRO.2","GAB.2","GBR.2","GEO.2","GHA.2","GIN.2","GMB.2","GNB.2","GNQ.2","GRC.2","GRD.2","GRL.2","GTM.2","GUY.2","HKG.2","HND.2","HRV.2","HTI.2","HUN.2","IDN.2","IND.2","IRL.2","IRN.2","IRQ.2","ISL.2","ISR.2","ITA.2","JAM.2","JOR.2","JPN.2","KAZ.2","KEN.2","KGZ.2","KHM.2","KIR.2","KNA.2","KOR.2","KWT.2","LAO.2","LBN.2","LBR.2","LBY.2","LCA.2","LKA.2","LSO.2","LTU.2","LUX.2","LVA.2","MAC.2","MAR.2","MDA.2","MDG.2","MDV.2","MEX.2","MKD.2","MLI.2","MLT.2","MMR.2","MNE.2","MNG.2","MOZ.2","MRT.2","MUS.2","MWI.2","MYS.2","NAM.2","NCL.2","NER.2","NGA.2","NIC.2","NLD.2","NOR.2","NPL.2","NZL.2","OMN.2","PAK.2","PAN.2","PER.2","PHL.2","PNG.2","POL.2","PRK.2","PRT.2","PRY.2","PSE.2","PYF.2","QAT.2","ROU.2","RUS.2","RWA.2","SAU.2","SDN.2","SEN.2","SGP.2","SLB.2","SLE.2","SLV.2","SOM.2","SRB.2","SSD.2","STP.2","SUR.2","SVK.2","SVN.2","SWE.2","SWZ.2","SYC.2","SYR.2","TCD.2","TGO.2","THA.2","TJK.2","TKM.2","TLS.2","TON.2","TTO.2","TUN.2","TUR.2","TUV.2","TWN.2","TZA.2","UGA.2","UKR.2","URY.2","USA.2","UZB.2","VCT.2","VEN.2","VNM.2","VUT.2","YEM.2","ZAF.2","ZMB.2","ZWE.2"
"KNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,400285000,0,0,0,2554125000,9600000,0,0,0,0,0,15550000,0,4800000,0,0,0,0,0,0,1200000,0,1200000,0,0,0,456760000,10800000,2.4e+07,554395000,7200000,2380000,0,11350000,0,0,0,0,0,0,0,16800000,56920000,0,0,0,0,51530000,0,193920000,0,0,0,1200000,0,6e+06,54600000,0,0,75580000,0,5990000,9e+06,0,0,1.2e+07,0,0,0,0,0,287840000,0,0,0,0,28800000,1200000,0,0,127170000,0,57600000,20400000,0,0,199006666.666667,3600000,3600000,0,304800000,0,0,0,48595000,0,0,0,0,0,1200000,0,0,0,0,25200000,0,0,0,1200000,0,0,0,0,602400000,0,157730000,0,0,14400000,0,1316335000,0,0,0,80400000,0,100755000,0,0,184180000,0,18600000,0,3660000,8380000,0,0,0,0,2400000,0,0,9585000,0,274785000,0,46200000,0,3600000,250175000,0,0,0,0,0,0,0,0,0,0,1200000,0,1200000,0,0,0,4200000,0,0,0,0,0,0,1.2e+07,0,13200000,0,0,0,0,1863235000,0,0,0,91150000,0,0,29400000,0,0,0,0,0,0,400285000,0,0,0,2554125000,9600000,0,0,0,0,0,15550000,0,4800000,0,0,0,0,0,0,1200000,0,1200000,0,0,0,456760000,10800000,2.4e+07,554395000,7200000,2380000,0,11350000,0,0,0,0,0,0,0,16800000,56920000,0,0,0,0,51530000,0,193920000,0,0,0,1200000,0,6e+06,54600000,0,0,75580000,0,5990000,9e+06,0,0,1.2e+07,0,0,0,0,0,287840000,0,0,0,0,28800000,1200000,0,0,127170000,0,57600000,20400000,0,0,199006666.666667,3600000,3600000,0,304800000,0,0,0,48595000,0,0,0,0,0,1200000,0,0,0,0,25200000,0,0,0,1200000,0,0,0,0,602400000,0,157730000,0,0,14400000,0,1316335000,0,0,0,80400000,0,100755000,0,0,184180000,0,18600000,0,3660000,8380000,0,0,0,0,2400000,0,0,9585000,0,274785000,0,46200000,0,3600000,250175000,0,0,0,0,0,0,0,0,0,0,1200000,0,1200000,0,0,0,4200000,0,0,0,0,0,0,1.2e+07,0,13200000,0,0,0,0,1863235000,0,0,0,91150000,0,0,29400000,0,0
"KWT",0,0,0,0,275490000,0,0,0,1200000,0,0,0,0,0,0,0,0,19195000,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13685000,0,0,0,0,0,0,0,0,0,6e+06,0,27600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16e+08,0,712680000,8.4e+07,0,0,0,0,44240000,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,2400000,0,10710000,0,0,0,0,0,91200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29370000,0,0,0,525620000,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311940000,0,0,0,0,0,0,0,0,0,0,0,0,1.32e+08,0,0,0,0,0,0,0,275490000,0,0,0,1200000,0,0,0,0,0,0,0,0,19195000,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13685000,0,0,0,0,0,0,0,0,0,6e+06,0,27600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16e+08,0,712680000,8.4e+07,0,0,0,0,44240000,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,2400000,0,10710000,0,0,0,0,0,91200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29370000,0,0,0,525620000,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311940000,0,0,0,0,0,0,0,0,0,0,0,0,1.32e+08,0,0,0
"LAO",0,0,0,0,0,0,0,0,52800000,187200000,0,0,9.03e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221160990000,0,0,0,0,0,0,0,0,0,0,0,28800000,271190000,0,0,7.08e+08,0,0,0,0,0,157200000,0,0,0,0,2317880000,0,0,345600000,0,0,0,0,0,0,0,0,0,0,0,26400000,0,0,0,0,0,0,0,0,0,0,0,681600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400000,0,0,0,0,0,0,0,0,0,0,1186800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012400000,0,0,0,0,0,13214400000,0,0,0,0,0,0,0,0,0,0,0,0,0,247200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52800000,187200000,0,0,9.03e+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221160990000,0,0,0,0,0,0,0,0,0,0,0,28800000,271190000,0,0,7.08e+08,0,0,0,0,0,157200000,0,0,0,0,2317880000,0,0,345600000,0,0,0,0,0,0,0,0,0,0,0,26400000,0,0,0,0,0,0,0,0,0,0,0,681600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400000,0,0,0,0,0,0,0,0,0,0,1186800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012400000,0,0,0,0,0,13214400000,0,0,0,0,0,0,0,0,0,0,0,0,0,247200000,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,1800000,0,3e+06,0,1200000,2400000,0,0,9640000,2470125000,6600000,0,0,1200000,0,0,0,0,0,0,1200000,0,0,0,0,14400000,4800000,14400000,0,0,41395000,1800000,0,18600000,0,6600000,0,0,0,0,7190000,0,76845000,0,0,5400000,1200000,41920000,0,0,0,0,0,0,0,0,0,0,9580000,50400000,0,8400000,25510985000,15600000,0,4800000,104400000,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,21600000,0,15600000,0,0,1200000,0,0,0,0,0,19190000,0,0,68400000,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,3600000,0,0,0,0,0,0,0,0,10800000,0,0,161870000,185970000,0,4200000,2380000,0,1200000,0,0,3600000,0,0,0,0,0,0,39600000,0,0,1.44e+08,0,0,0,5390000,0,9e+06,0,0,19200000,0,0,0,0,3e+08,0,0,0,199905000,0,0,9874800000,3600000,4800000,4.8e+07,0,0,0,0,0,1195000,501600000,0,0,0,0,0,0,211200000,0,0,16800000,0,0,0,2400000,1200000,0,0,0,0,0,1800000,0,3e+06,0,1200000,2400000,0,0,9640000,2470125000,6600000,0,0,1200000,0,0,0,0,0,0,1200000,0,0,0,0,14400000,4800000,14400000,0,0,41395000,1800000,0,18600000,0,6600000,0,0,0,0,7190000,0,76845000,0,0,5400000,1200000,41920000,0,0,0,0,0,0,0,0,0,0,9580000,50400000,0,8400000,25510985000,15600000,0,4800000,104400000,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,21600000,0,15600000,0,0,1200000,0,0,0,0,0,19190000,0,0,68400000,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,3600000,0,0,0,0,0,0,0,0,10800000,0,0,161870000,185970000,0,4200000,2380000,0,1200000,0,0,3600000,0,0,0,0,0,0,39600000,0,0,1.44e+08,0,0,0,5390000,0,9e+06,0,0,19200000,0,0,0,0,3e+08,0,0,0,199905000,0,0,9874800000,3600000,4800000,4.8e+07,0,0,0,0,0,1195000,501600000,0,0,0,0,0,0,211200000,0,0,16800000,0,0,0,2400000,1200000,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e+07,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e+07,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600000,0,0,0,0,412800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600000,0,0,0,0,412800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,4070290000,0,0,0,2634350000,0,0,0,43145000,796800000,8.4e+07,0,0,54315000,0,0,0,0,0,0,0,4800000,0,0,1200000,0,2648780000,628055000,0,0,0,2431200000,0,0,0,0,0,0,0,0,52120000,0,305165000,0,0,123705000,0,0,0,0,0,0,26180000,0,0,6060000,466990000,0,0,2592560000,0,58800000,0,0,0,0,0,0,0,0,0,73190000,0,0,0,0,0,292800000,0,0,20420000,0,0,1060395000,0,143405000,100270000,0,0,0,0,0,0,1220000,475010000,0,75190000,0,0,0,0,0,0,0,0,0,0,1200000,0,1362535000,0,0,0,6.6e+07,0,0,0,0,0,0,0,3010000,0,0,0,0,0,119815000,285695000,1.608e+09,303635000,47400000,8400000,0,0,0,0,0,1220000,0,0,0,0,545505000,0,0,0,320070000,1190000,1.956e+09,100005000,0,0,0,0,0,0,0,0,0,0,36030000,8330000,28195000,0,0,0,0,0,0,0,0,0,0,27600000,0,0,0,0,0,0,715520000,0,0,0,0,0,0,0,0,0,0,0,0,0,4070290000,0,0,0,2634350000,0,0,0,43145000,796800000,8.4e+07,0,0,54315000,0,0,0,0,0,0,0,4800000,0,0,1200000,0,2648780000,628055000,0,0,0,2431200000,0,0,0,0,0,0,0,0,52120000,0,305165000,0,0,123705000,0,0,0,0,0,0,26180000,0,0,6060000,466990000,0,0,2592560000,0,58800000,0,0,0,0,0,0,0,0,0,73190000,0,0,0,0,0,292800000,0,0,20420000,0,0,1060395000,0,143405000,100270000,0,0,0,0,0,0,1220000,475010000,0,75190000,0,0,0,0,0,0,0,0,0,0,1200000,0,1362535000,0,0,0,6.6e+07,0,0,0,0,0,0,0,3010000,0,0,0,0,0,119815000,285695000,1.608e+09,303635000,47400000,8400000,0,0,0,0,0,1220000,0,0,0,0,545505000,0,0,0,320070000,1190000,1.956e+09,100005000,0,0,0,0,0,0,0,0,0,0,36030000,8330000,28195000,0,0,0,0,0,0,0,0,0,0,27600000,0,0,0,0,0,0,715520000,0,0,0,0,0,0,0,0,0
"LSO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176360000,0,0
"LTU",0,0,0,0,0,0,0,0,0,78500000,0,0,0,0,0,0,23295000,0,0,0,28800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,3734295000,367200000,0,0,28770000,0,0,0,0,0,7.8e+07,2258140000,0,2400000,0,0,0,0,83370000,0,0,0,0,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,60600000,0,0,0,4880000,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5709715000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33595000,1810000,0,0,0,0,0,0,0,0,2962235000,0,2400000,0,0,0,0,0,275960000,0,0,0,0,0,0,0,0,0,0,0,0,0,28800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78500000,0,0,0,0,0,0,23295000,0,0,0,28800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,3734295000,367200000,0,0,28770000,0,0,0,0,0,7.8e+07,2258140000,0,2400000,0,0,0,0,83370000,0,0,0,0,0,0,4800000,0,0,0,0,0,0,0,0,0,0,0,60600000,0,0,0,4880000,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5709715000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33595000,1810000,0,0,0,0,0,0,0,0,2962235000,0,2400000,0,0,0,0,0,275960000,0,0,0,0,0,0,0,0,0,0,0,0,0,28800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4760000,0,0,0,0,0,0,0,0,0,0,0
"LUX",0,0,0,0,0,0,0,0,0,0,4790000,0,46085000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,0,0,2400000,0,0,0,0,0,0,0,0,0,0,83460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4790000,0,46085000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,0,0,2400000,0,0,0,0,0,0,0,0,0,0,83460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29280000,3600000,0,0,0,0,0,0,0,0,0,3148050000,0,0,0,0,0,0,187155000,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,49120000,0,0,0,0,6e+06,0,0,0,1190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13190000,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29280000,3600000,0,0,0,0,0,0,0,0,0,3148050000,0,0,0,0,0,0,187155000,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,49120000,0,0,0,0,6e+06,0,0,0,1190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13190000,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0
