"62",NA,NA,NA,NA,NA,NA,NA,NA,5806000,131682700,NA,194333000,7445500,47667100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9821100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798700,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,94663600,NA,NA,11486900,585232800,NA,319732000,11114000,NA,8540700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21212500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11122800,NA,NA,NA,NA,NA,4404200,24261500,NA,NA,NA,NA,24769600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29099700,NA,NA,NA,11149400,36785900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22337100,NA,NA,NA,NA,528800,NA,NA,NA,NA,NA,NA,NA,6372700,NA,NA,NA,NA,14519100,2269600
"64",NA,NA,NA,NA,59097300,NA,NA,NA,315119200,148607700,NA,1433764900,NA,326938500,8365700,NA,NA,NA,NA,NA,NA,NA,NA,42295900,731800,NA,2662400,22684500,NA,NA,19990600,NA,36100,116639400,NA,60200,NA,NA,NA,NA,8865500,NA,NA,NA,NA,NA,NA,NA,NA,56500,NA,NA,5292900,24179900,NA,752900,NA,NA,NA,NA,8500,767000,NA,NA,NA,NA,NA,9400,1091200,3352000,675000,NA,NA,72434700,NA,NA,NA,NA,26592300,NA,1340100,NA,NA,838200,NA,NA,NA,NA,NA,690400,NA,NA,NA,NA,14533100,17600,16762900,NA,100,NA,NA,NA,NA,NA,NA,NA,629500,NA,NA,7600,NA,NA,73712500,NA,23923700,NA,NA,6654600,59525100,NA,NA,62236800,NA,225600,NA,163572400,NA,5200,NA,1064500,NA,NA
"65",NA,NA,NA,NA,140548600,NA,NA,NA,775729800,108335100,44304600,685749900,384323700,221820000,27054700,49300,NA,NA,NA,NA,NA,1182400,NA,NA,44674300,NA,1669600,NA,NA,NA,NA,NA,NA,2533500,NA,NA,NA,NA,NA,NA,NA,NA,NA,302600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343200,278400,19074800,NA,NA,NA,NA,NA,NA,14564500,3529500,34650500,NA,NA,33700,NA,NA,NA,NA,4735300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41647600,7450200,31700,NA,NA,10376200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5857000,NA,3244800,NA,576300,NA,18173500,NA,NA,NA,NA,NA,NA,42531600,NA,NA,NA,NA,NA,NA
"69",NA,NA,28440800,NA,46854400,NA,NA,NA,1401654800,160468800,130810700,590817100,150966600,726599700,195052300,NA,NA,NA,NA,NA,NA,NA,60621900,37337600,51538500,NA,26317600,NA,NA,NA,21508400,NA,112511000,43360800,NA,NA,4481300,NA,NA,NA,15041800,8283200,NA,NA,22938000,NA,NA,NA,NA,22729100,NA,NA,NA,NA,NA,NA,NA,11505900,39841600,NA,NA,NA,NA,4468400,NA,NA,12285400,NA,NA,32082800,NA,NA,NA,NA,18198100,NA,NA,16793100,20504400,NA,8949500,NA,NA,3858600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33299100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80132200,17202900,78180000,NA,20399400,74805900,59047100,NA,NA,NA,NA,NA,NA,195448800,NA,NA,NA,NA,116153100,NA
"81",183900,NA,NA,NA,15059500,NA,NA,NA,50348900,NA,2833700,NA,NA,NA,1695030600,288807800,NA,NA,NA,NA,NA,NA,NA,NA,3658500,NA,6669200,8438300,NA,NA,NA,NA,NA,NA,NA,NA,NA,2607200,4906700,NA,17350500,NA,NA,57939700,NA,NA,NA,NA,NA,NA,NA,NA,1500400,3930200,4448600,3313100,NA,NA,39875100,11600,10077000,8200,NA,NA,NA,NA,63700,NA,138958500,NA,NA,NA,NA,NA,35220500,19947200,NA,NA,NA,NA,NA,NA,NA,NA,10747200,NA,NA,61100,14179800,202600,NA,NA,NA,NA,NA,NA,11796900,NA,NA,NA,NA,NA,NA,NA,NA,NA,23609700,NA,NA,NA,NA,NA,NA,NA,12534100,NA,1019800,10674300,4793300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,37782200,166750200,NA,NA,76623500,24384200,NA,613907900,68220900,NA,NA,NA,NA,NA,NA,NA,NA,102708500,NA,50539800,182853700,NA,NA,NA,NA,NA,136545500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85750700,NA,18081500,143864400,16884100,NA,NA,72204100,44941600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132916800,57348800,NA,22960800,NA,NA,NA,NA,NA,NA,NA,39847300,NA,56554900,49897000,NA,NA,91580900,134125200,NA,NA,107541800,NA,28236400,NA,42187800,43744100,NA,NA,NA,87476200,NA,NA,NA,NA,7167000,NA,NA,NA,49731400,NA,273083700,103863600,NA,NA,11501200,NA,NA,NA,NA,NA,30494700,216292000,NA,NA,NA,73708400,101353900,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131805300,108387700,18036300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73711800,223998600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9572300,NA,NA,NA,NA,44625100,NA,NA,NA,16715200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7865400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30792300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,7628800,NA,NA,NA,NA,NA,NA,NA,68509200,128277700,19083400,NA,NA,NA,NA,NA,NA,NA,NA,34300,NA,NA,NA,NA,NA,10800,NA,NA,NA,NA,406500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53500,51003600,17363500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5831000,NA,NA,NA,2209300,NA,NA,NA,NA,NA,10800,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,10600,40566700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29607200,11979900,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,2195200,NA,875800,2421500,NA,NA,NA,NA,1085000,NA,7842600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4418300,NA,NA,NA,NA,8149600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10254600,NA,NA,NA,NA,7153000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
