,11,12,19,20,41,42,49,50,61,62,63,64,65,69,81,89,91,92,99,101,109,111,121,122,123,124,129,131,132,139,151,159,160,171,172,179,181,182,183,189,190,201,202,209,211,212,219,221,222,223,229,230,241,242,249,251,259,261,262,269,271,279,280,291,292,299,300,311,319,321,329,331,339,341,342,350,361,362,363,364,369,371,372,373,379,380,391,392,393,394,399,401,402,409,411,419,421,422,423,429,441,451,452,459,460,471,472,473,479,481,482,483,484,485,486,487,488,489,491,499,500,511,512,513,519,531,532,539,540,551,559,560
62,NA,NA,NA,NA,NA,NA,NA,NA,11612000,263365400,NA,388666000,14891000,95334200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19642200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1597400,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,189327200,NA,NA,22973800,1170465600,NA,639464000,22228000,NA,17081400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42425000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22245600,NA,NA,NA,NA,NA,8808400,48523000,NA,NA,NA,NA,49539200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58199400,NA,NA,NA,22298800,73571800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44674200,NA,NA,NA,NA,1057600,NA,NA,NA,NA,NA,NA,NA,12745400,NA,NA,NA,NA,29038200,4539200
64,NA,NA,NA,NA,118194600,NA,NA,NA,630238400,297215400,NA,2867529800,NA,653877000,16731400,NA,NA,NA,NA,NA,NA,NA,NA,84591800,1463600,NA,5324800,45369000,NA,NA,39981200,NA,72200,233278800,NA,120400,NA,NA,NA,NA,17731000,NA,NA,NA,NA,NA,NA,NA,NA,113000,NA,NA,10585800,48359800,NA,1505800,NA,NA,NA,NA,17000,1534000,NA,NA,NA,NA,NA,18800,2182400,6704000,1350000,NA,NA,144869400,NA,NA,NA,NA,53184600,NA,2680200,NA,NA,1676400,NA,NA,NA,NA,NA,1380800,NA,NA,NA,NA,29066200,35200,33525800,NA,200,NA,NA,NA,NA,NA,NA,NA,1259000,NA,NA,15200,NA,NA,147425000,NA,47847400,NA,NA,13309200,119050200,NA,NA,124473600,NA,451200,NA,327144800,NA,10400,NA,2129000,NA,NA
65,NA,NA,NA,NA,281097200,NA,NA,NA,1551459600,216670200,88609200,1371499800,768647400,443640000,54109400,98600,NA,NA,NA,NA,NA,2364800,NA,NA,89348600,NA,3339200,NA,NA,NA,NA,NA,NA,5067000,NA,NA,NA,NA,NA,NA,NA,NA,NA,605200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686400,556800,38149600,NA,NA,NA,NA,NA,NA,29129000,7059000,69301000,NA,NA,67400,NA,NA,NA,NA,9470600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83295200,14900400,63400,NA,NA,20752400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11714000,NA,6489600,NA,1152600,NA,36347000,NA,NA,NA,NA,NA,NA,85063200,NA,NA,NA,NA,NA,NA
69,NA,NA,56881600,NA,93708800,NA,NA,NA,2803309600,320937600,261621400,1181634200,301933200,1453199400,390104600,NA,NA,NA,NA,NA,NA,NA,121243800,74675200,103077000,NA,52635200,NA,NA,NA,43016800,NA,225022000,86721600,NA,NA,8962600,NA,NA,NA,30083600,16566400,NA,NA,45876000,NA,NA,NA,NA,45458200,NA,NA,NA,NA,NA,NA,NA,23011800,79683200,NA,NA,NA,NA,8936800,NA,NA,24570800,NA,NA,64165600,NA,NA,NA,NA,36396200,NA,NA,33586200,41008800,NA,17899000,NA,NA,7717200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66598200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160264400,34405800,156360000,NA,40798800,149611800,118094200,NA,NA,NA,NA,NA,NA,390897600,NA,NA,NA,NA,232306200,NA
81,367800,NA,NA,NA,30119000,NA,NA,NA,100697800,NA,5667400,NA,NA,NA,3390061200,577615600,NA,NA,NA,NA,NA,NA,NA,NA,7317000,NA,13338400,16876600,NA,NA,NA,NA,NA,NA,NA,NA,NA,5214400,9813400,NA,34701000,NA,NA,115879400,NA,NA,NA,NA,NA,NA,NA,NA,3000800,7860400,8897200,6626200,NA,NA,79750200,23200,20154000,16400,NA,NA,NA,NA,127400,NA,277917000,NA,NA,NA,NA,NA,70441000,39894400,NA,NA,NA,NA,NA,NA,NA,NA,21494400,NA,NA,122200,28359600,405200,NA,NA,NA,NA,NA,NA,23593800,NA,NA,NA,NA,NA,NA,NA,NA,NA,47219400,NA,NA,NA,NA,NA,NA,NA,25068200,NA,2039600,21348600,9586600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,75564400,333500400,NA,NA,153247000,48768400,NA,1227815800,136441800,NA,NA,NA,NA,NA,NA,NA,NA,205417000,NA,101079600,365707400,NA,NA,NA,NA,NA,273091000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171501400,NA,36163000,287728800,33768200,NA,NA,144408200,89883200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265833600,114697600,NA,45921600,NA,NA,NA,NA,NA,NA,NA,79694600,NA,113109800,99794000,NA,NA,183161800,268250400,NA,NA,215083600,NA,56472800,NA,84375600,87488200,NA,NA,NA,174952400,NA,NA,NA,NA,14334000,NA,NA,NA,99462800,NA,546167400,207727200,NA,NA,23002400,NA,NA,NA,NA,NA,60989400,432584000,NA,NA,NA,147416800,202707800,NA
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263610600,216775400,36072600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147423600,447997200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19144600,NA,NA,NA,NA,89250200,NA,NA,NA,33430400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15730800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61584600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,15257600,NA,NA,NA,NA,NA,NA,NA,137018400,256555400,38166800,NA,NA,NA,NA,NA,NA,NA,NA,68600,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,813000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107000,102007200,34727000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11662000,NA,NA,NA,4418600,NA,NA,NA,NA,NA,21600,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,NA,21200,81133400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59214400,23959800,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,4390400,NA,1751600,4843000,NA,NA,NA,NA,2170000,NA,15685200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8836600,NA,NA,NA,NA,16299200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20509200,NA,NA,NA,NA,14306000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2860800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
