"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"IRN",9.227,2.619,4.463,4.204,3.587,1.605,0.73,-1.629,-1.034,1.496,0.422,1.801,0.971,5.27,-1.445
"IRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITA",-0.072,-8.375,-12.713,-7.33,-4.496,-4.111,-2.685,-1.905,0.051,-2.165,-2.982,-1.184,-0.643,-1.126,-2.2
"JAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN",-6.957,-11.464,-9.831,-8.527,-3.131,-2.924,-10.844,-5.362,-8.174,-11.649,-6.574,-6.171,3.411,0.205,-0.34
"JOR",8.339,7.265,0.705,2.996,3.717,2.577,0.904,3.781,0.641,4.155,4.61,1.127,-2.407,3.727,4.405
"KAZ",-2.324,-1.569,-2.483,0.72,12.71,0.932,9.923,5.572,13.37,14.961,12.938,0.589,4.398,-0.025,9.768
"KEN",-6.966,-0.063,-7.409,-0.569,0.045,1.713,-6.4,-1.979,-4.449,-0.876,-6.264,0.757,-2.373,-3.45,-8.802
"KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KWT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KGZ",-24.59,-24.339,-16.273,-19.871,-6.901,-9.959,-6.008,-3.851,-0.62,0.039,1.225,-0.927,-4.919,-3.472,2.177
"LVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBN",1.133,4.65,6.431,6.602,-1.777,4.167,11.457,1.559,-3.148,1.707,-5.056,-1.855,-0.435,-1.581,-0.044
"LBY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWI",-8.388,-6.344,-5.151,-6.398,-6.466,-4.07,-4.165,-6.078,-5.664,-4.967,-3.724,-5.123,-4.296,-4.577,-4.344
"MYS",-0.833,-2.012,-3.612,2.2,-3.119,-3.387,2.195,7.541,-1.305,-1.016,6.247,-2.925,-2.45,1.342,2.755
"MDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLI",8.827,5.789,6.155,5.922,10.192,2.983,7.737,6.965,1.909,3.834,3.043,0.046,12.335,6.61,3.353
"MLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT",-27.217,-19.762,-36.25,6.577,-5.788,-27.368,-14.766,7.216,-24.614,29.207,13.418,-23.585,-11.593,-10.905,-6.254
"MUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",-7.607,-7.191,-5.018,-4.471,-3.314,-4.358,-3.382,-1.964,-3.275,-1.421,-1.255,-1.261,-1.662,-2.083,-0.905
"MNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MNE",57.444,-11.791,-8.868,1.779,21.451,-9.748,22.655,24.265,15.428,11.56,26.846,1.8,0.56,25.461,1.304
"MAR",-0.839,-5.572,-8.766,-10.133,-7.443,-7.611,-6.345,-4.711,-4.684,-3.414,-4.099,-4.831,-2.121,-6.43,-4.265
"MOZ",-9.933,-10.131,-6.046,-3.242,-2.642,1.273,-1.703,-6.762,-5.505,-0.534,-5.14,-0.989,-0.754,-1.118,-4.9
"MMR",-12.379,-16.531,0.876,-7.941,-9.841,-18.85,-23.606,-17.844,-11.361,-6.042,2.129,-3.137,-12.88,-11.963,-6.775
"NAM",-2.198,-16.154,-9.956,-1.323,-0.673,2.123,-0.011,5.059,-4.624,-2.447,-9.081,-1.422,5.45,-4.116,2.475
"NPL",-9.459,-10.341,-7.149,-4.904,-5.263,-13.034,-6.887,-5.888,-4.445,-12.104,-8.727,-10.336,-7.486,-3.4,-7.557
"NLD",-19.093,-54.395,-48.76,-46.046,-34.484,-41.367,-40.373,-21.517,-15.42,-14.607,-24.237,-15.664,-8.571,-16.29,-6.014
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NZL",0.341,-8.557,-11.096,-16.033,-12.042,-13.148,-10.477,-6.712,-6.469,-4.183,-10.96,-2.606,-4.977,-4.605,-5.708
"NIC",-1.32,-6.272,-2.031,-3.833,-3.195,-0.346,-4.141,-6.265,-1.11,1.352,0.916,-5.962,-0.03,-0.379,1.521
"NER",-14.298,-5.519,-10.64,-10.496,-3.725,-4.91,-1.471,-5.882,-0.444,-2.171,-0.603,-2.197,0.681,-0.218,-2.07
